what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Terminate",1321683678527
closed,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.MemoryView",1321683678599
closed,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.RegisterView",1321683678607
closed,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321683678611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683683512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683732164
activated,perspective,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.CPerspective",1321683750243
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683750284
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683752783
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1321683754937
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1321683755316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321683756732
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1321683760025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683761331
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1321683762657
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.MemoryView",1321683762760
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.RegisterView",1321683762819
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321683762848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683762897
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1321683764563
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1321683764590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683767970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683847351
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Terminate",1321683850671
error,log,,,"Request for monitor: 'RequestMonitor (org.eclipse.cdt.dsf.mi.service.MIRunControl$9@9cd3b): Status ERROR: org.eclipse.cdt.dsf.gdb code=10001 Context cannot be suspended. null' resulted in an error.",1321683850695
closed,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.RegisterView",1321683850742
closed,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321683850747
activated,perspective,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.CPerspective",1321683852280
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683852317
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683858233
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1321683860118
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1321683860288
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1321683860469
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1321683860602
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1321683863997
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1321683864243
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1321683864420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683870331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683874965
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1321683876619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321683886330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683891330
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1321683892784
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.RegisterView",1321683892895
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321683892949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683893000
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1321683894691
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1321683894701
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1321683896695
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Terminate",1321683904412
error,log,,,"Request for monitor: 'RequestMonitor (org.eclipse.cdt.dsf.mi.service.MIRunControl$9@f860cd): Status ERROR: org.eclipse.cdt.dsf.gdb code=10001 Context cannot be suspended. null' resulted in an error.",1321683904429
closed,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321683904472
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683908453
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1321683908587
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1321683920728
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1321683924990
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321683926117
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683926337
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1321683927604
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1321683927611
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Terminate",1321683931329
closed,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321683931371
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683933149
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1321683935523
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1321683938699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321683951535
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1321683960386
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1321683961847
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1321683966203
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321683967515
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683967746
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1321683969730
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1321683969743
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1321683971687
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Terminate",1321683975012
error,log,,,"Request for monitor: 'RequestMonitor (org.eclipse.cdt.dsf.mi.service.MIRunControl$9@1d60c02): Status ERROR: org.eclipse.cdt.dsf.gdb code=10001 Context cannot be suspended. null' resulted in an error.",1321683975025
closed,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321683975055
activated,perspective,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.CPerspective",1321683977059
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683977098
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321683993947
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1321683997662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321683998943
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321683999127
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1321684000557
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321684000619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321684000685
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1321684002746
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1321684002759
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1321684005479
closed,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.ModuleView",1321684005532
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321684023767
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1321684023885
activated,perspective,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.CPerspective",1321684025608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321684031639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321684095293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321684102623
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321684103253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321684105388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321684113987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321684138745
